text;target
82359;"I bought this to remove tartar off my cats'teeth. Somewhere in the product information, or in my imagination, I thought this product was for Pet Teeth Not just for Dog Teeth. And though I am not a dyed in the wool dog lover, I wouldn't give this to a dog either. Here was my experience with this product:It came promptly. I still had some of my old tartar remover, so finished it off, then got a spanking clean cat bowl and put a few drops of the blue tartar remover in the bowl, then added clean water. Wow. The blue stuff foamed up in the bowl. Well, I had bottled water in the bowl, so I wanted to save some if possible. I poured half the blue foaming liquid out and refilled with water. Just a few bubbles appeared. So, since it was a clean bowl with bottled water, I put some of the water on my finger to taste it. No soapy taste, just a bit metallic. So I gave it to the cats. They drank a bit and wandered off. I estimate there were 2 drops in a pint of water.I also keep a bowl of water for them in the kitchen and it has NO tartar remover in it. Over a period of a week to 10 days, I noticed that the kitchen water had suddenly become a bigger hit than the water at the feeding station. Odd. I really wasn't paying too much attention UNTIL,I came in to refill the bowl at the feeding station and put in about a eighth of a teaspoon of the blue tartar remover.(So that is one eighth teaspoon in a pint of water.) It foamed up like mad. Suddenly, I realized the kitties were not drinking the blue foaming water, but were going into the kitchen to get pure water. I poured half the water out again, refilled the bowl at the feeding station and watched. Not a good video. Grey kitty smelled the light blue water, put his foot in it and walked to the kitchen. Brown Kitty woke up later and had some kibble. She drank about 2 laps of the treated water and headed for the kitchen.Cats will not eat or drink anything that is bad. If water is fresh, but in a puddle, yep they will drink it. If food has spoiled, no they will not eat it. I know they will drink anti freeze which kills them, but over all, they are quite discriminating in their tastes. I do not know exactly what turns them off about this blue foaming product, but they are having none of it. I ultimately threw my bottle away. I will not give it one star because I do not hate it, but I am certainly wary of it and will give no more to my kitties. This is definitely NOT a kitty product and I wouldn't give it to my dog either. Up to you and your dogs, but it surely does not Look right or pass the ""Kitty says its OK"" test. I vote against it.";0
51828;We have two of these now, indoors only.They allow our cats access to litter boxes in the cellar w/o having to leave the cellar door ajar.We've also installed one in our bedroom door so it can be kept closed, too.(We keep the temperature lower....and a/c'ed in the summer!)Good price for a great option!;0
17743;Easy to assemble, good size for my 1.5 inch Robo, no side door for escaping, cage bars are spaced tightly for safe keeping of mini animals, and very light to carry with a handle. Lots of possibilities for expansion with the fun-nel ports. My hamster loved it from the moment I put him in. I ended up buying another travel sized CritterTrail cage to put my new hamster in! Great cage and products!;0
112950;This does take off a ton of fur.  My German Shepherd does not like it too much though.  She loves to be brushed regularly with other brushes, but this one not so much.  She does allow me to use it, but I can sense her discomfort, and she isn't as eager to be brushed when she sees me holding it.  I'm not sure if it takes off too much hair like others say, but I can see why they would think it, and I have to admit, that I am a bit concerned myself.;0
143740;I'm so pleased with the Litter Genie.  It does everything it says it will do.  Since I have 4 cats I don't expect the bag refill to last as long.  It if lasts 3 or 4 weeks it will still be a great asset.  My pet sitter loves it too.;0
130116;Great bed particularly for the price. After my dog ruptured her ACL I needed something soft and supportive for her to hang out on. All of my dogs & cat love this bed and tend to just pile on.;0
106739;I have a small Cavalier and I bought this bag to travel with him for the first time (he's 8 mths).I liked the wheels on the bag because having a layover and lots of walking he was going to get too heavy.When I got the bag I used the same paper that came with the packaging to give it some shape (as it was folded, it had no shape and looked smaller than what it was) for a couple of days before traveling.My dog seemed pretty comfortable in it, he would scratch it a little every now and then (not enough if you ask me) by the time we got to our first stop he had broken the side he was scratching on (one of the sides with the clear-ish fabric. I had to figure out a way to keep him inside until we got to our destination. but this was really frustrating.Like I said he was in there scratching for 20 or so minutes total and then it was broken.I do like the fact that you can take the wheels off and my dog was overall pretty comfortable.Needs better quality. I had to go somewhere to get it back;0
6093;when fishes are being treated for parasites or diseases, their best chance of survival is if they continually eat. this does attrack them to fish food.;0
22977;Love the fact there isn't any stuffing in this toy.  My dogs haven't ripped it apart yet and still enjoy playing with it.;0
13668;Love these for my power chewers! My 3 power chewers love these bones and they last about a month. All other bones get demolished within 48 hours. I have a Shar-Pei, a Coonhound, and a Brittainy Spaniel/Doberman/Border Collie Mix. These three dogs can chew through anything. The regular size is right for all of them, not too large and not so small that they cause a choking hazard. My little Bedlington Terrier likes these too. One of these would last him an eternity as he has a very soft bite. My dogs seem to like the chocolate (brown) flavored one the best of the three. I highly recommend these and they are much safer than rawhide.;0
