doc_id,category,target,text,original_categories,word_count
test/16680,Corporate_Industrial,0,"DOME &lt;DMP> BENEFITS FROM TAKEOVER SPECULATION
  Shares of Dome Petroleum Ltd posted
  their biggest gain in months in the U.S. and Canada as stock
  markets foresaw a takeover tug-of-war beginning for the
  debt-heavy company.
      Dome rose 1/4 to 1-1/8 on the American Stock Exchange and
  gained 31 cents to 1.44 Canadian dlrs on the Toronto Stock
  Exchange, where it was the most active stock. It rose as high
  as 1.50 dlrs in Toronto during the day. In recent months, Dome
  has normally moved by only a few cents per day.
      TransCanada PipeLines yesterday announced a 4.3 billion dlr
  Canadian (3.22 billion U.S.) bid for all of Dome's assets, but
  Dome, which is based in Calgary, Alberta, said it is also still
  talking with two other companies, which it refuses to identify.
      Market analysts today said the other two firms are believed
  to be foreign oil companies, noting that TransCanada yesterday
  stressed that its bid is ""a Canadian solution to the financial
  difficulties of Dome Petroleum.""
      ""The talk is about Conoco, which is controlled by DuPont
  &lt;DD>, and Atlantic Richfield Co &lt;ARC>, which sold its Canadian
  interest in 1975 and could be getting back in,"" said Wilf Gobert
  of Peters and Co Ltd.
      David Bryson of Moss Lawson and Co also noted that British
  Petroleum PLC &lt;BP> is mentioned as a possible buyer, despite
  BP's 70 U.S. dlr per share bid two weeks ago for the 45 percent
  of Standard Oil Co &lt;SRD> it does not already own.
      Calgary-based independent analyst James Hamilton has said
  in recent reports that Amoco Corp &lt;AN> has also been in talks
  with Dome.
      Representatives of Atlantic Richfield, British Petroleum,
  Conoco and Amoco were not immediately available for comment.
      Gobert characterized the market action in Dome today as ""awfully
  optimistic,"" given TransCanada's offer to give current Dome
  shareholders stock in a new subsidiary, which it valued at 1.10
  dlrs Canadian per common share.
      Under the offer, current Dome common and preferred
  shareholders would own 20 pct of the new subsidiary, which
  would own and operate all Dome's former assets. TransCanada
  would own 80 pct.
      However, Bryson said the market may be looking at the
  potential for shares in a publicly-traded subsidiary. ""The
  TransCanada offer has quite a bit of upside potential for Dome,""
  he said.
      Gobert said he believes the TransCanada offer is ""at the
  upper end of what I thought somebody would pay for Dome.""
      The TransCanada proposal would pay Dome's creditors 3.87
  billion Canadian dlrs (2.90 billion U.S. dlrs), with another
  one billion Canadian dlrs (750 mln U.S. dlrs) available to
  secured creditors if the Dome subsidiary earns profits above a
  certain level. TransCanada would not detail the profit level.
      Dome currently is seeking to restructure about six billion
  Canadian dlrs (4.5 billion U.S. dlrs) in debt, which it took on
  several years ago when oil prices were high and the company
  wanted to expand.
      ""There has been speculation that Dome's assets are capable
  of supporting debt of three to four billion dlrs, so on that
  basis, the TransCanada offer would be at the upper end of that,""
  Gobert said.
      Dome's debt troubles have often obscured the fact that it
  is a major player in the Canadian oil and gas field. It holds
  reserves of about 176 mln barrels of crude oil and 3.9 billion
  cubic feet of natural gas.
      The company also owns or has an interest in 14.2 mln acres
  of oil and gas exploration land in the province of Alberta, the
  heart of Canada's oil industry.
     Dome owns or has an interest in a total of 36.1 mln acres of
  land across Canada.
     The company also has tax credits of about 2.5 billion dlrs
  Canadian (1.9 billion dlrs U.S.). It reported a 1986 loss of
  2.2 billion dlrs (1.65 billion dlrs U.S.), believed to be the
  largest ever by a Canadian company.
  

",acq,641
test/21536,Markets,2,"SOVIET SUGAR CONSUMPTION UP AS HOME BREWING GROWS
  A sharp rise in Soviet sugar consumption
  since the start of the Kremlin's anti-alcohol drive indicates
  home brewing is costing the state 20 billion roubles in lost
  vodka sales, Pravda said.
      The Communist Party newspaper said sugar sales had
  increased by one mln tonnes a year, enough to be turned into
  two billion bottles of moonshine.
      At current vodka prices of 10 roubles a bottle, it said,
  this meant illicit alcohol consumption had reached the
  equivalent of 20 billion roubles a year, or annual revenues
  from vodka sales before the May 1985 anti-alchohol decree.
      ""Official statistics show a reduction in consumption of
  vodka, but this is a deceptive statistic -- it does not count
  home-brew,"" Pravda said.
      ""The epidemic first engulfed the villages and has now also
  firmly settled into cities, where the availability of natural
  gas, running water and privacy has made it much easier.""
      Kremlin leader Mikhail Gorbachev launched the anti-alcohol
  campaign shortly after taking office in March 1985 as a first
  step to improving Soviet economic performance, which had been
  seriously hurt by drunkenness among the working population.
  

",sugar,189
test/15322,Markets,2,"U.S.SENATE LIFTS SOME BANS ON NATURAL GAS
  The Senate unanimously approved
  legislation to lift a ban on new construction of natural
  gas-fired power plants and other large industrial gas-burning
  plants.
      The bill, sponsored by Senate Energy Committee chairman
  Bennett Johnston, also repeals mandatory incremental pricing of
  natural gas which was designed to protect residential consumers
  from major price increases by forcing some industrial users to
  pay higher than market prices.
      ""This legislation will open up new natural gas markets,"" the
  Lousiana Democrat said.
      The gas restrictions were enacted in 1978 in response to a
  shortage of natural gas and predictions of higher prices.
      ""Now both oil and gas prices are severely depressed,""
  Johnston said.
      In a compromise with coal producers, the bill requires new
  baseload electric powerplants be designed to accomodate
  modifications necessary to burning coal or another alternate
  fuel.
  

","crude,nat-gas",140
test/15352,Economics,1,"DEFICIT CUTS SEEN UNABLE TO CURE TRADE DEFICIT
  Financial analysts say they are
  pleased with congressional moves to trim next year's federal
  budget deficit but believe the actions will do little to help
  improve the U.S. trade deficit or buoy the economy.
      The House of Representatives is expected to vote tomorrow
  to approve a trillion-dollar budget blueprint for the coming
  fiscal year that reduces the deficit by 38 billion dlrs.
      Similarly, the Senate Budget Committee has approved a plan
  that would cut federal red ink by about 37 billion dlrs next
  year.
          ""In terms of the economy, 37-38 billion dlrs is
  infinitesimal, so cuts of this magnitude will have little
  impact on the economy and the trade deficit,"" said Stanley
  Collander, a Touche Ross federal budget policy analyst.
      ""At best, it will have a small positive effect,"" Collander
  said in an interview.
      Federal Reserve Board Chairman Paul Volcker has repeatedly
  told Congress that cutting federal red ink would go a long way
  to help reduce the massive trade deficit and also help ease
  some of the downward pressure on the value of the dollar.
      The U.S. government has attempted to remedy the trade
  imbalance by driving down the value of the dollar. But Volcker
  has warned that a further fall in the dollar's value is fraught
  with danger.
      Such a decline, he has said, could refuel inflation as
  imported goods become more expensive and chase away foreign
  capital needed to finance the federal budget deficit.
      In addition, in February, U.S. officials meeting with other
  major industrialized nations in Paris agreed that the value of
  the dollar had dropped enough and that world exchange rates
  should be stabilized at around current levels.
      As part of that agreement, Japan and West Germany agreed to
  take steps to stimulate their economies and the United States
  agreed to cut its budget deficit.
      The alternative to driving down the dollar any further as a
  way to deal with the trade deficit, Volcker said recently, is
  to reduce U.S. consumption, particularly federal spending.
      ""If you don't deal with the budget deficit, everything else
  you do is going to be counterproductive,"" Volcker said in recent
  testimony before the Senate Banking Committee.
      Volcker also said he would prefer to further tighten the
  government's purse strings than have the Fed tighten the credit
  supply if action was needed to fight inflationary pressures or
  to assure the continued flow of foreign capital into the United
  States.
      Analysts say that Fed tightening now could choke off the
  current modest economic expansion and threaten a recession.
      Kemper Financial Services economist John Silvia stressed
  that any deficit reduction was better than none.
      But he said the size of the cuts under consideration were 
  not enough to give the Federal Reserve Board the flexibility it
  needs to steer the economy or to keep the value of the dollar
  from plunging further in world exchange markets.
      ""There's no doubt that some deficit reduction helps, but if
  your objective is to stabilize the dollar and perserve the
  Fed's flexibility to conduct monetary policy, then the answer
  is, it's not enough,"" Silvia told Reuters.
      The U.S. trade deficit has become one of the government's
  most vexing and persistent problems.
      The 1986 deficit was 169.8 billion dlrs and there is as yet
  little indication that this year's figure will be any lower,
  though administration officials have predicted it will drop by
  about 20 to 30 billion dlrs by year's end.
      In the past, Volcker has joked that he never lost sleep
  worrying whether Congress would cut too much fat from the
  federal budget.
      On the other hand, he also has made it clear he is not
  attached to the gradually declining deficit ceilings set for
  the 1986-1991 period by last year's Gramm-Rudman balanced
  budget law.
      While the new law set a ceiling of 108 billion dlrs for
  next year's federal deficit, both the House and Senate Budget
  Committees have conceded that their budget plans would fall
  short of the deficit reduction goal by about 25 billion dlrs.
      ""For political reasons, 35 to 40 billion dlrs is about the
  most you're going to get"" out of Congress at the present time,
  said Touche Ross's Collander. ""To do something more than that
  would be extraordinary, remarkable and very, very difficult.""
      Collander said the real danger for Congress was to end up
  short of the deficit reduction goal set by its Budget panels.
      ""To an extent, this has become the minimum acceptable
  reduction level,"" he explained. ""Anything less than that will now
  look like a failure to Wall Street.""
      The budget plan now under debate on the House floor would
  lower an estimated 171 billion dlr deficit for the year
  beginning on October one to about 133 billion dlrs by cutting
  defense and domestic programs by 38 billion dlrs from their
  anticipated spending levels for next year.
      The Senate Budget Committee has called for a deficit of
  nearly 134 billion dlrs with about 18.5 billion dlrs in new 
  taxes and about the same amount in spending cuts.
  

",trade,836
training/233,Economics,1,"ITALIAN TREASURY CUTS INTEREST ON CERTIFICATES
  The Italian treasury said annual coupon
  rates payable March 1988 on two issues of long-term treasury
  certificates (CCTs) would be cut by about four percentage
  points compared with rates this March.
      Coupon rates on 10-year certificates maturing March 1995
  will fall to 9.80 pct from 13.65 pct and rates on 10-year
  issues maturing in March 1996 would fall to 10.05 pct from
  14.30 pct.
      The Treasury also cut by 0.60 point six-monthly coupons
  payable this September on six issues maturing between September
  1988 and September 1991.
      The issues carry terms of between five and seven years and
  will have coupon rates of between 4.85 and 5.65 pct in
  September compared with 5.45 and 6.25 pct this March.
  

",interest,123
test/16283,Corporate_Industrial,0,"REEBOK INTERNATIONAL LIMITED &lt;RBK> 1ST QTR
  Shr 72 cts vs 52 cts
      Net 38.6 mln vs 25 mln
      Revs 281.8 mln vs 174.5 mln
      Avg shrs 53.5 mln vs 48.2 mln
      NOTE: 1987 1st quarter amounts do not includes sales of
  AVIA Group International Inc, acquired at the end of the first
  quarter. 1987 1st quarter revenues include Rockport revenues of
  31 mln dlrs. 1986 1st quarter amounts do not include Rockport,
  as Reebok acuqired that company in October 1986.
  

",earn,80
test/14852,Corporate_Industrial,0,"BOND CORP STILL CONSIDERING ATLAS MINING BAIL-OUT
  Bond Corp Holdings Ltd &lt;BONA.S> and Atlas
  Consolidated Mining and Development Corp &lt;ATLC.MN> are still
  holding talks on a bail-out package for the troubled mining
  firm, an Atlas statement said.
      Atlas, the Philippines' biggest copper producer, said it
  had been hit by depressed world copper prices. It reported a
  net loss of 976.38 mln pesos in the year ending December 1986,
  compared with a net loss of 1.53 billion in 1985.
      The company said it had been able to cut its losses because
  its scaled-down copper operations in the central island of Cebu
  started in the second half of 1986.
      Atlas said negotiations were continuing on the acquisition
  by Bond of the company's existing bank loans and their
  restructuring into a gold loan.
      A memorandum of understanding signed by the two sides in
  October last year said Bond would acquire Atlas' total loans of
  275 mln dlrs, to be repaid by the mining company in gold.
      Atlas said the two sides were also discussing equity
  infusion into Atlas and the creation of a development fund for
  further exploration and development of the company's gold
  properties in the central province of Masbate.
      Wilson Banks, general manager of &lt;Bond Corp International
  Ltd> in Hong Kong, told Reuters the Atlas statement on the
  negotiations was ""reasonably accurate.""
      Banks said Bond Corp was seriously considering several
  investments in the Philippines but did not give details.
      In its statement, Atlas said development of the pre-World
  War Two underground mines in Masbate had been accelerated and
  the ore tonnage had increased, extending the operation's life
  at least until 1993.
  

","acq,copper",270
test/15020,Corporate_Industrial,0,"VOLKSWAGEN DIVIDEND DECISION DUE TOMORROW
  Volkswagen AG &lt;VOWG.F>,
  VW, is due to make a formal announcement about its 1986
  dividend tomorrow after saying the 1985 level of 10 marks per
  ordinary share would be held, despite massive losses because of
  a suspected foreign currency fraud.
      A spokesman said VW's supervisory board will meet tomorrow
  to discuss the payout.  A statement will be made afterwards.
      VW has also said disclosed profits for 1986 will reach
  their 1985 level, despite provisions of a possible 480 mln
  marks linked to the currency affair. The figure is virtually
  the same as the 477 mln mark 1985 parent company net profit.
      When VW first confirmed the currency scandal on March 10 it
  said the management board would propose an unchanged 10-mark
  dividend to the supervisory board. A dividend of 11 marks would
  be proposed for the company's new preference shares.
      Share analysts said they saw supervisory board approval of
  the management board proposal as virtually a formality.
  ""Anything else would be more than a surprise,"" one said.
      Company sources said VW would have to dig into reserves to
  maintain the disclosed profit. Parent company reserves stood at
  around three billion marks at end-1985.
  

",earn,198
test/16800,Corporate_Industrial,0,"OAKITE PRODUCTS INC &lt;OKT> 1ST QTR NET
  Shr 53 cts vs 48 cts
      Net 873,000 vs 773,000
      Sales 19.5 mln vs 20.0 mln
  

",earn,23
training/11216,Markets,2,"DROUGHT THREAT EASES IN SOUTH CHINA PROVINCE
  Rainfall in the past few days has eased
  the threat of drought in the south China province of Guangdong,
  the New China News Agency said.
      It said 75 pct of early rice fields are ready to be planted
  and seedlings have already been transplanted on 90 pct of rice
  fields in Hainan island. Some 840,000 hectares of farmland have
  been planted with cash crops including sugar cane, peanuts and
  soybeans, 67,000 ha more than in 1986.
      The provincial government has increased investment in grain
  and taken effective measures to combat natural disasters this
  year, the agency said, but gave no further details.
  

","grain,rice",109
