subject,relation,object,new_topic,old_index
role,is in,Yukos up China,5,0
role,lent,$ 6bn,5,1
role,lent,Russia,5,2
Oil,rebounds from,weather effect Oil prices recovered on Tuesday,1,3
Oil,rebounds after,falling in New York on milder winter weather across US,1,4
Oil,rebounds after,falling in New York on winter weather across US,1,5
Oil,rebounds after,falling in New York,1,6
Oil,rebounds after,falling on winter weather,1,7
Oil,rebounds after,falling in New York on winter weather,1,8
Oil,rebounds after,falling on milder winter weather,1,9
Oil,rebounds after,falling on milder winter weather across US,1,10
Oil,rebounds after,falling in New York on milder winter weather,1,11
Oil,rebounds from,weather effect Oil prices,1,12
Oil,rebounds from,weather effect Oil prices recovered in trade on Tuesday,1,13
Oil,rebounds from,weather effect Oil prices recovered in Asian trade on Tuesday,1,14
Oil,rebounds after,falling,1,15
Oil,rebounds from,weather effect Oil prices recovered,1,16
Oil,rebounds from,weather effect Oil prices recovered in Asian trade,1,17
Oil,rebounds after,falling on winter weather across US,1,18
Oil,rebounds from,weather effect Oil prices recovered in trade,1,19
prices,recovered,Asian,1,20
prices,recovered,milder,1,21
Indonesia,needs,debt freeze offered,5,22
Indonesia,needs,debt freeze,5,23
Indonesia,needs,debt freeze offered by Paris Club group,5,24
Economics Minister Aburizal Bakrie,has said at_time,Indonesia ' declines debt freeze,5,25
Economics Minister Aburizal Bakrie,has reportedly said at_time,Indonesia ' declines debt freeze,5,26
Indonesia,needs,debt freeze offered by Paris Club group of creditors,5,27
her post,is in,April 2004,4,28
boss,pay,Â,4,29
US bank,is in,515m SEC settlement,4,30
US,is at,bank,4,31
bank,have,settlement,4,32
bank,have,fraudulent,4,33
bank,have,subsidiaries,4,34
Verizon ' seals takeover,has won,takeover battle for US phone firm MCI,5,35
Verizon ' seals takeover,has won,takeover battle for US phone firm MCI with bid worth,5,36
Verizon ' seals takeover,has won,takeover battle with bid worth,5,37
Verizon ' seals takeover,has won,takeover battle with bid,5,38
Verizon ' seals takeover,has won,takeover battle,5,39
Verizon ' seals takeover,has won,takeover battle for US phone firm MCI with bid,5,40
takeover battle,is with,bid worth,5,41
seals,has,takeover,5,42
seals,has,worth,5,43
seals,has,battle,5,44
Parmalat,boasts,Italian food group at centre of one Europe 's corporate scandals,4,45
Parmalat,boasts,food group at centre of one of Europe 's scandals,4,46
Parmalat,boasts,food group at centre,4,47
Parmalat,boasts,food group at centre of one of Europe 's most painful corporate scandals,4,48
Parmalat,boasts,Italian food group at centre of one of Europe 's most painful corporate scandals,4,49
Parmalat,boasts,food group at centre of one of Europe 's corporate scandals,4,50
Parmalat,boasts,Italian food group at centre,4,51
Parmalat,boasts,Italian food group at centre of one of Europe 's painful scandals,4,52
Parmalat,boasts,Italian food group at centre of one Europe 's most painful corporate scandals,4,53
Parmalat,boasts,Italian food group,4,54
Parmalat,boasts,food group at centre of one Europe 's most painful corporate scandals,4,55
Parmalat,boasts,food group at centre of one of Europe 's most painful scandals,4,56
Parmalat,boasts,doubled profits Parmalat,4,57
Parmalat,boasts,food group at centre of one Europe 's painful scandals,4,58
Parmalat,boasts,food group at centre of one Europe 's most painful scandals,4,59
Parmalat,boasts,food group,4,60
Parmalat,boasts,food group at centre of one Europe 's painful corporate scandals,4,61
Parmalat,boasts,food group at centre of one Europe 's corporate scandals,4,62
Parmalat,boasts,Italian food group at centre of one Europe 's painful scandals,4,63
Parmalat,boasts,Italian food group at centre of one Europe 's painful corporate scandals,4,64
Parmalat,boasts,food group at centre of one of Europe 's painful scandals,4,65
doubling,is in,profit,4,66
Parmalat,boasts,Italian food group at centre of one of Europe 's corporate scandals,4,67
Parmalat,boasts,Italian food group at centre of one of Europe 's most painful scandals,4,68
Parmalat,boasts,Italian food group at centre of one of Europe 's scandals,4,69
Parmalat,boasts,Italian food group at centre of one of Europe 's painful corporate scandals,4,70
Parmalat,boasts,Italian food group at centre of one Europe 's most painful scandals,4,71
Parmalat,boasts,profits Parmalat,4,72
Parmalat,boasts,food group at centre of one Europe 's scandals,4,73
Parmalat,boasts,Italian food group at centre of one Europe 's scandals,4,74
Parmalat,boasts,food group at centre of one of Europe 's painful corporate scandals,4,75
US seeks,overturn,court ruling,4,76
Department,is,court,4,77
its executive,has said,Steel firm to cut,5,78
its chief executive,has said,Steel firm to cut,5,79
its chief executive,has said,Steel firm cut,5,80
its executive,has said,Steel firm cut,5,81
Cars,pull down,US retail figures US sales,3,82
Cars,pull down,US figures US retail sales,3,83
Cars,pull down,US retail figures US retail sales,3,84
Cars,pull down,US figures US sales,3,85
Central Bank,has left for,month in succession,5,88
Central Bank,has left,its interest rate unchanged,5,89
European Central Bank,has left for,month,5,90
European Central Bank,has left for,19th month in succession,5,91
European Central Bank,has left amid,growth fears,5,92
Central Bank,has left amid,growth fears,5,93
Central Bank,has left for,19th month,5,94
19th month,is in,succession,5,95
European Central Bank,has left at,2 %,5,96
Central Bank,has left at,2 %,5,97
European Central Bank,has left for,month in succession,5,98
European Central Bank,has left for,19th month,5,99
Central Bank,has left,its key interest rate unchanged,5,100
European Central Bank,has left,its interest rate unchanged,5,101
European Central Bank,has left,its key interest rate unchanged,5,102
ECB,holds,rates,5,103
Central Bank,has left for,month,5,104
Central Bank,has left for,19th month in succession,5,105
ECB,is at,rates,5,106
plans,demerge,its film services unit,5,107
Rank ' set,sell off,claim,5,108
its film services unit,sell,its media business,5,109
Rank ' set,sell off,film unit Leisure group Rank,5,110
Rank ' set,sell off,reports claim,5,111
US,is at,jobs,5,112
slight increase Prices,rose,seasonally adjusted 0,5,113
slight increase Prices,rose,adjusted 0,5,114
homes,is in,UK,5,115
increase Prices,rose,seasonally adjusted 0,5,116
increase Prices,rose,adjusted 0,5,117
Pension hitch,is,much higher,5,118
Pension hitch,is,higher,5,119
Pension hitch,is much higher than,estimated,5,120
Pension hitch,is much higher than,originally estimated,5,121
Pension hitch,is higher than,originally estimated,5,122
Pension hitch,is higher than,estimated,5,123
European shares Shares,fallen as,scale of damage,5,124
shares Shares,fallen as,scale of damage wrought by tsunamis,5,125
European shares Shares,fallen as,scale wrought,5,126
European shares Shares,fallen as,scale of damage wrought by tsunamis,5,127
European shares Shares,fallen as,scale,5,128
Asian quake hits,has become,apparent,5,129
shares Shares,fallen as,scale wrought by tsunamis,5,130
European shares Shares,fallen as,scale wrought by tsunamis,5,131
shares Shares,fallen as,scale of damage wrought by tsunamis across Asia,5,132
European shares Shares,fallen as,scale of damage wrought by tsunamis across Asia,5,133
European shares Shares,fallen as,scale of damage wrought,5,134
shares Shares,fallen as,scale wrought by tsunamis across south Asia,5,135
shares Shares,fallen as,scale of damage,5,136
shares Shares,fallen as,scale wrought,5,137
shares Shares,fallen as,scale,5,138
shares Shares,fallen as,scale of damage wrought,5,139
European shares Shares,fallen as,scale wrought by tsunamis across Asia,5,140
European shares Shares,fallen as,scale wrought by tsunamis across south Asia,5,141
European shares Shares,fallen as,scale of damage wrought by tsunamis across south Asia,5,142
shares Shares,fallen as,scale wrought by tsunamis across Asia,5,143
European shares Shares,is in,Europe 's leading reinsurers,5,144
quake hits,has become,apparent,5,145
shares Shares,fallen as,scale of damage wrought by tsunamis across south Asia,5,146
quake,is,Asian,5,147
copyright case,is in,Beijing,0,148
Honda,wins,China copyright,0,149
Japan,has,Honda,0,150
Bank,leave,rates,5,151
Bank set,are set,to remain on hold at 4,5,152
Bank set,remain on,hold,5,153
Bank set,are set,remain on hold,5,154
Bank set,are set,remain at 4,5,155
Bank set,are set,to remain,5,156
Bank set,are,set,5,157
Bank,leave rates on,hold UK interest rates,5,158
Bank set,are set,to remain at 4,5,159
Bank set,are set,remain on hold at 4,5,160
Bank set,are set,to remain on hold,5,161
Bank set,remain at,4,5,162
4,leave,rates,5,163
4,leave,hold,5,164
Macy,has,owner,3,165
Macy 's owner,buys,rival,3,166
China,suspends,26 power projects,5,167
projects,has,big,5,168
projects,has,halt,5,169
projects,has,environmental,5,170
projects,has,construction,5,171
British Airways,has blamed fuel prices for,40 % drop in profits,5,172
British Airways,has blamed,fuel prices,5,173
British Airways,has blamed fuel prices for,40 % drop,5,174
British Airways,has blamed,high fuel prices,5,175
fuel prices,hit,BA 's profits,5,176
BA,has,profits,5,177
High fuel prices,hit,BA 's profits,5,178
40 % drop,is in,profits,5,179
fuel,is,High,5,180
Ebbers,denies,WorldCom fraud Former WorldCom chief Bernie Ebbers,4,181
Bernie,has,claims,4,182
imports,has,more,5,185
Japan bank shares,jumped amid,speculation,5,186
it,build,plant in India,5,187
second plant,meet,country 's growing demand for cars,5,188
it,build,plant,5,189
plant,meet,country 's growing demand,5,190
second plant,meet,country 's demand,5,191
Hyundai,build,new India plant South Korea 's Hyundai Motor,5,192
Hyundai,build,India plant South Korea 's Hyundai Motor,5,193
plant,meet,country 's demand for cars,5,194
country,has,growing demand for cars,5,195
second plant,meet,country 's demand for cars,5,196
second plant,is in,India,5,197
it,build,second plant,5,198
second plant,meet,country 's growing demand,5,199
plant,meet,country 's demand,5,200
it,build,second plant in India,5,201
plant,meet,country 's growing demand for cars,5,202
it,says,trade,4,203
US,has asked,World Trade Organisation,4,204
US,has asked,World Trade Organisation,4,205
US,is in,EU tariff chaos trade row,4,206
World Trade Organisation,investigate,European Union customs tariffs,4,207
EU,has,US,4,208
EU,is at,US,4,209
tariff,has,chaos,4,210
tariff,has,inconsistent,4,211
tariff,has,trade,4,212
S lender,faces,liquidation Creditors of South Korea 's credit card firm,4,214
S Korean lender,faces,liquidation Creditors,4,215
S lender,faces,liquidation Creditors of South Korea 's top credit card firm,4,216
S Korean lender,faces,liquidation Creditors of South Korea 's credit card firm,4,217
S lender,faces,liquidation Creditors,4,218
S Korean lender,faces,liquidation Creditors of South Korea 's top credit card firm,4,219
dollar,has,slide,5,220
they,were planning,sell off,5,221
Asian banks,halt,dollar 's slide,5,222
they,were planning sell off,South Korea Japan denied,5,223
they,were planning sell off,South Korea denied,5,224
they,were planning sell off,Japan denied,5,225
they,were planning sell off,after South Korea Japan denied,5,226
they,were planning sell off,after South Korea denied,5,227
banks,halt,dollar 's slide,5,228
they,were planning sell off,after Japan denied,5,229
banks,is,Asian,5,230
Kreme shares,hit,Shares,4,231
Kreme shares,hit Shares in,Krispy Kreme Doughnuts,4,232
Krispy Kreme shares,hit,Shares,4,233
Krispy Kreme shares,hit Shares in,Krispy Kreme Doughnuts,4,234
firm,revealed,it,4,235
Doughnuts,have,financial,4,236
Post-Christmas lull,showed,post-Christmas lull,5,237
Post-Christmas lull,is in,lending UK mortgage lending,5,238
Post-Christmas lull,showed lull in,January,5,239
Post-Christmas lull,showed,lull,5,240
Post-Christmas,is at,lull,5,241
