subject,relation,object,new_topic,old_index
EXPORTERS,is,ASIAN,4,0
vermin,consume between,China Daily,2,1
CHINA DAILY SAYS VERMIN,EAT,7 12 PCT GRAIN STOCKS,2,2
CHINA DAILY SAYS VERMIN,EAT,7 12 PCT GRAIN STOCKS survey of provinces showed,2,3
CHINA DAILY SAYS VERMIN,EAT,7 12 PCT GRAIN STOCKS survey of 19 provinces showed,2,4
Ministry,meet,forecast downtrend,0,5
Ministry,meet,forecast downtrend in energy demand,0,6
JAPAN,REVISE,TERM ENERGY DEMAND,0,7
forecast downtrend,is in,Japanese energy demand,0,8
Ministry,will revise,its term energy supply demand outlook,0,9
Ministry,will revise,its long term energy supply demand outlook,0,10
JAPAN,REVISE,LONG TERM ENERGY DEMAND,0,11
Ministry,meet,forecast downtrend in Japanese energy demand,0,12
THAI TRADE DEFICIT,WIDENS IN,FIRST QUARTER Thailand 's trade deficit,0,13
TRADE DEFICIT,WIDENS IN,FIRST QUARTER Thailand 's trade deficit,0,14
TRADE,is,THAI,0,15
Tug crews,is in,New South Wales,4,16
COMMODITY EXCHANGE,MAY EXPAND,Indonesian Commodity Exchange,1,17
INDONESIAN COMMODITY EXCHANGE,MAY EXPAND,Commodity Exchange,1,18
COMMODITY EXCHANGE,MAY EXPAND,Commodity Exchange,1,19
INDONESIAN COMMODITY EXCHANGE,MAY EXPAND,Indonesian Commodity Exchange,1,20
COMMODITY,is,INDONESIAN,1,21
SRI LANKA,GETS,USDA APPROVAL,2,22
SRI LANKA,GETS USDA APPROVAL FOR,WHEAT PRICE Food Department officials,2,23
USDA APPROVAL,said,U,2,24
WESTERN MINING TO OPEN NEW GOLD MINE,is IN,AUSTRALIA Western Mining Corp Holdings Ltd,3,25
MINING,is,WESTERN,3,26
SUMITOMO BANK,AIMS AT,RECOVERY,3,27
SUMITOMO BANK,AIMS FROM,MERGER Sumitomo Bank Ltd,3,28
SUMITOMO BANK,AIMS AT,QUICK RECOVERY,3,29
SUMITOMO BANK,AIMS FROM,SUMI,3,30
RECOVERY,AIMS,MERGER,3,31
BUNDESBANK,ALLOCATES,6,7,32
CORP,is,0,3,33
MINING,BAIL,Holdings,3,34
CHINA INDUSTRIAL OUTPUT,RISES IN,FIRST QUARTER China 's industrial output,0,35
CHINA INDUSTRIAL OUTPUT,RISES IN,FIRST QUARTER China 's output,0,36
JAPAN MINISTRY SAYS OPEN FARM TRADE,WOULD HIT,U,4,37
FARM,HIT,TRADE,4,38
AMATIL,PROPOSES,AMAA,3,39
BOWATER 1986 PRETAX PROFITS,RISE,15,5,40
BOWATER PRETAX PROFITS,RISE,15,5,41
KOREA,is,SOUTH,4,42
KOREA,is at,GROWTH,4,43
KOREA,SLOW,GROWTH,4,44
KOREA,SLOW,TRADE,4,45
CRA SOLD FORREST GOLD,said FOR,76 MLN DLRS WHIM CREEK,3,46
Whim Creek Consolidated NL,said consortium FOR,76 MLN DLRS WHIM CREEK,3,47
Whim Creek Consolidated NL,said,consortium,3,48
it,pay,76,3,49
Whim Creek Consolidated NL,said FOR,76 MLN DLRS WHIM CREEK,3,50
CRA SOLD FORREST GOLD,said consortium FOR,76 MLN DLRS WHIM CREEK,3,51
CRA SOLD FORREST GOLD,said,consortium,3,52
GERMAN INDUSTRIAL EMPLOYMENT SEEN STAGNATING,benefited,services branch,0,53
"50,000 increase",is in,overall employment,0,54
GERMAN INDUSTRIAL EMPLOYMENT SEEN STAGNATING,benefited,DIW institute,0,55
GERMAN INDUSTRIAL EMPLOYMENT SEEN STAGNATING,benefited,only services branch,0,56
GERMAN INDUSTRIAL EMPLOYMENT SEEN STAGNATING,benefited,DIW economic institute,0,57
BOWATER INDUSTRIES PROFIT,EXCEED,EXPECTATIONS Bowater Industries Plc BWTR,3,58
INDUSTRIES,EXCEED,PROFIT,3,59
CITIBANK NORWAY UNIT,LOSES,SIX MLN CROWNS,0,60
CROWNS,LOSES,A,0,61
UNFAVOURABLE sharp fall,is in,dollar price of zinc,7,62
MONTAGNE,is,VIEILLE,5,63
white sugar tender,predict after,last week 's award at highest ever rebate of 46,2,64
sugar tender,predict after,"last week 's award of 102,350 tonnes at highest rebate",2,65
sugar tender,predict after,week 's substantial award at highest ever rebate of 46,2,66
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest ever rebate of 46",2,67
white sugar tender,predict after,week 's substantial award at highest ever rebate,2,68
sugar tender,predict after,week 's substantial award at ever rebate,2,69
white sugar tender,predict after,last week 's award at rebate of 46,2,70
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest rebate of 46",2,71
white sugar tender,predict after,week 's award at ever rebate of 46,2,72
white sugar tender,is,extremely difficult,2,73
sugar tender,predict after,last week 's substantial award at ever rebate of 46,2,74
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest ever rebate of 46",2,75
sugar tender,predict after,week 's substantial award at ever rebate of 46,2,76
white sugar tender,predict after,last week 's substantial award at highest rebate of 46,2,77
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest rebate",2,78
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at ever rebate of 46",2,79
sugar tender,predict after,"week 's award of 102,350 tonnes at rebate",2,80
sugar tender,predict after,"week 's award of 102,350 tonnes at highest ever rebate",2,81
sugar tender,predict after,week 's award at highest ever rebate,2,82
white sugar tender,predict after,"last week 's award of 102,350 tonnes at ever rebate",2,83
white sugar tender,predict after,"last week 's award of 102,350 tonnes at highest rebate of 46",2,84
sugar tender,predict after,"last week 's award of 102,350 tonnes at ever rebate",2,85
white sugar tender,predict after,week 's award at ever rebate,2,86
sugar tender,predict after,"last week 's award of 102,350 tonnes at rebate",2,87
sugar tender,predict after,week 's award at highest rebate of 46,2,88
sugar tender,predict after,week 's substantial award,2,89
white sugar tender,predict after,"week 's award of 102,350 tonnes at rebate",2,90
sugar tender,predict after,week 's award at ever rebate of 46,2,91
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at ever rebate",2,92
white sugar tender,predict after,"last week 's award of 102,350 tonnes at ever rebate of 46",2,93
sugar tender,predict after,week 's award at ever rebate,2,94
sugar tender,predict after,last week 's substantial award at highest ever rebate,2,95
sugar tender,predict after,week 's award at highest ever rebate of 46,2,96
sugar tender,predict after,last week 's award,2,97
white sugar tender,predict after,"week 's award of 102,350 tonnes at ever rebate of 46",2,98
white sugar tender,predict after,week 's award at rebate of 46,2,99
sugar tender,predict after,last week 's award at rebate,2,100
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest rebate of 46",2,101
sugar tender,predict after,last week 's award at ever rebate of 46,2,102
white sugar tender,predict after,last week 's award at highest ever rebate,2,103
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at rebate",2,104
sugar tender,predict after,last week 's award at ever rebate,2,105
white sugar tender,predict after,"last week 's award of 102,350 tonnes at highest ever rebate",2,106
sugar tender,predict after,last week 's award at highest rebate of 46,2,107
white sugar tender,predict after,last week 's substantial award at rebate of 46,2,108
white sugar tender,predict after,week 's substantial award at ever rebate,2,109
white sugar tender,predict after,last week 's substantial award at highest ever rebate of 46,2,110
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes",2,111
sugar tender,predict after,"last week 's award of 102,350 tonnes at highest rebate of 46",2,112
white sugar tender,predict after,last week 's award at rebate,2,113
white sugar tender,predict after,week 's award at highest ever rebate,2,114
sugar tender,predict after,last week 's award at highest ever rebate of 46,2,115
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest rebate of 46",2,116
sugar tender,predict after,last week 's award at highest rebate,2,117
sugar tender,predict after,week 's award at rebate of 46,2,118
white sugar tender,predict after,"last week 's award of 102,350 tonnes at rebate of 46",2,119
sugar tender,predict after,"last week 's award of 102,350 tonnes at highest ever rebate of 46",2,120
white sugar tender,predict after,week 's substantial award at rebate,2,121
sugar tender,predict after,"last week 's award of 102,350 tonnes at highest ever rebate",2,122
sugar tender,is,extremely difficult,2,123
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes",2,124
white sugar tender,predict after,week 's substantial award at ever rebate of 46,2,125
white sugar tender,predict after,"week 's award of 102,350 tonnes at highest ever rebate",2,126
white sugar tender,predict after,last week 's substantial award,2,127
white sugar tender,predict after,last week 's award at ever rebate,2,128
sugar tender,predict after,"week 's award of 102,350 tonnes at ever rebate",2,129
white sugar tender,predict after,week 's award at highest rebate of 46,2,130
sugar tender,predict after,last week 's substantial award at highest rebate of 46,2,131
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest rebate",2,132
sugar tender,predict after,last week 's substantial award,2,133
white sugar tender,predict after,"week 's award of 102,350 tonnes",2,134
sugar tender,predict after,week 's substantial award at highest ever rebate,2,135
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at rebate",2,136
white sugar tender,predict after,"last week 's award of 102,350 tonnes at highest rebate",2,137
sugar tender,predict after,week 's substantial award at rebate,2,138
sugar tender,predict after,"week 's award of 102,350 tonnes",2,139
sugar tender,predict after,last week 's substantial award at highest ever rebate of 46,2,140
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at ever rebate",2,141
sugar tender,predict after,last week 's substantial award at rebate of 46,2,142
sugar tender,predict after,week 's award at highest rebate,2,143
white sugar tender,predict after,week 's substantial award,2,144
sugar tender,predict after,"week 's substantial award of 102,350 tonnes",2,145
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at rebate of 46",2,146
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest ever rebate",2,147
white sugar tender,predict after,last week 's substantial award at rebate,2,148
sugar tender,predict after,last week 's award at highest ever rebate,2,149
sugar tender,predict after,"week 's award of 102,350 tonnes at highest rebate of 46",2,150
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at ever rebate",2,151
