subject,relation,object,new_topic,old_index
EXPORTERS,is,ASIAN,5,0
vermin,consume between,China Daily,4,1
CHINA DAILY SAYS VERMIN,EAT,7 12 PCT GRAIN STOCKS,4,2
CHINA DAILY SAYS VERMIN,EAT,7 12 PCT GRAIN STOCKS survey of provinces showed,4,3
CHINA DAILY SAYS VERMIN,EAT,7 12 PCT GRAIN STOCKS survey of 19 provinces showed,4,4
Ministry,meet,forecast downtrend,2,5
Ministry,meet,forecast downtrend in energy demand,2,6
JAPAN,REVISE,TERM ENERGY DEMAND,2,7
forecast downtrend,is in,Japanese energy demand,2,8
Ministry,will revise,its term energy supply demand outlook,2,9
Ministry,will revise,its long term energy supply demand outlook,2,10
JAPAN,REVISE,LONG TERM ENERGY DEMAND,2,11
Ministry,meet,forecast downtrend in Japanese energy demand,2,12
THAI TRADE DEFICIT,WIDENS IN,FIRST QUARTER Thailand 's trade deficit,2,13
TRADE DEFICIT,WIDENS IN,FIRST QUARTER Thailand 's trade deficit,2,14
TRADE,is,THAI,2,15
Indonesia,expects,crude palm oil prices,7,16
crude palm oil prices,rise sharply because,demand,7,17
crude palm oil prices,rise because,better demand,7,18
palm oil prices,rise sharply because,European demand,7,19
palm oil prices,rise because,better European demand,7,20
crude palm oil prices,rise because,European demand,7,21
palm oil prices,rise sharply because,demand,7,22
Hasrul Harahap,told,Indonesian reporters,7,23
palm oil prices,rise because,European demand,7,24
Indonesia,expects,palm oil prices,7,25
Hasrul Harahap,told,reporters,7,26
palm oil prices,rise sharply because,better demand,7,27
fall,is in,Malaysian output,7,28
INDONESIA,SEES,CPO PRICE,7,29
INDONESIA,SEES,CPO PRICE RISING,7,30
crude palm oil prices,rise because,better European demand,7,31
crude palm oil prices,rise sharply because,better European demand,7,32
palm oil prices,rise because,demand,7,33
palm oil prices,rise sharply because,better European demand,7,34
palm oil prices,rise because,better demand,7,35
crude palm oil prices,rise sharply because,better demand,7,36
crude palm oil prices,rise because,demand,7,37
crude palm oil prices,rise sharply because,European demand,7,38
COMMODITY EXCHANGE,MAY EXPAND,Indonesian Commodity Exchange,7,39
INDONESIAN COMMODITY EXCHANGE,MAY EXPAND,Commodity Exchange,7,40
COMMODITY EXCHANGE,MAY EXPAND,Commodity Exchange,7,41
INDONESIAN COMMODITY EXCHANGE,MAY EXPAND,Indonesian Commodity Exchange,7,42
COMMODITY,is,INDONESIAN,7,43
SRI LANKA,GETS,USDA APPROVAL,4,44
SRI LANKA,GETS USDA APPROVAL FOR,WHEAT PRICE Food Department officials,4,45
SUMITOMO BANK,AIMS AT,RECOVERY,6,46
SUMITOMO BANK,AIMS FROM,MERGER Sumitomo Bank Ltd,6,47
SUMITOMO BANK,AIMS AT,QUICK RECOVERY,6,48
SUMITOMO BANK,AIMS FROM,SUMI,6,49
RECOVERY,AIMS,MERGER,6,50
CORP,is,0,6,51
MINING,BAIL,Holdings,6,52
CHINA INDUSTRIAL OUTPUT,RISES IN,FIRST QUARTER China 's industrial output,2,53
CHINA INDUSTRIAL OUTPUT,RISES IN,FIRST QUARTER China 's output,2,54
JAPAN MINISTRY SAYS OPEN FARM TRADE,WOULD HIT,U,5,55
FARM,HIT,TRADE,5,56
AMATIL,PROPOSES,AMAA,6,57
BOWATER 1986 PRETAX PROFITS,RISE,15,3,58
BOWATER PRETAX PROFITS,RISE,15,3,59
KOREA,is,SOUTH,2,60
KOREA,is at,GROWTH,2,61
KOREA,SLOW,GROWTH,2,62
KOREA,SLOW,TRADE,2,63
CRA SOLD FORREST GOLD,said FOR,76 MLN DLRS WHIM CREEK,6,64
Whim Creek Consolidated NL,said consortium FOR,76 MLN DLRS WHIM CREEK,6,65
Whim Creek Consolidated NL,said,consortium,6,66
it,pay,76,6,67
Whim Creek Consolidated NL,said FOR,76 MLN DLRS WHIM CREEK,6,68
CRA SOLD FORREST GOLD,said consortium FOR,76 MLN DLRS WHIM CREEK,6,69
CRA SOLD FORREST GOLD,said,consortium,6,70
GERMAN INDUSTRIAL EMPLOYMENT SEEN STAGNATING,benefited,services branch,2,71
"50,000 increase",is in,overall employment,2,72
GERMAN INDUSTRIAL EMPLOYMENT SEEN STAGNATING,benefited,DIW institute,2,73
GERMAN INDUSTRIAL EMPLOYMENT SEEN STAGNATING,benefited,only services branch,2,74
GERMAN INDUSTRIAL EMPLOYMENT SEEN STAGNATING,benefited,DIW economic institute,2,75
BOWATER INDUSTRIES PROFIT,EXCEED,EXPECTATIONS Bowater Industries Plc BWTR,3,76
INDUSTRIES,EXCEED,PROFIT,3,77
CITIBANK NORWAY UNIT,LOSES,SIX MLN CROWNS,6,78
CROWNS,LOSES,A,6,79
UNFAVOURABLE sharp fall,is in,dollar price of zinc,2,80
MONTAGNE,is,VIEILLE,3,81
white sugar tender,predict after,last week 's award at highest ever rebate of 46,4,83
sugar tender,predict after,"last week 's award of 102,350 tonnes at highest rebate",4,84
sugar tender,predict after,week 's substantial award at highest ever rebate of 46,4,85
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest ever rebate of 46",4,86
white sugar tender,predict after,week 's substantial award at highest ever rebate,4,87
sugar tender,predict after,week 's substantial award at ever rebate,4,88
white sugar tender,predict after,last week 's award at rebate of 46,4,89
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest rebate of 46",4,90
white sugar tender,predict after,week 's award at ever rebate of 46,4,91
white sugar tender,is,extremely difficult,4,92
sugar tender,predict after,last week 's substantial award at ever rebate of 46,4,93
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest ever rebate of 46",4,94
sugar tender,predict after,week 's substantial award at ever rebate of 46,4,95
white sugar tender,predict after,last week 's substantial award at highest rebate of 46,4,96
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest rebate",4,97
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at ever rebate of 46",4,98
sugar tender,predict after,"week 's award of 102,350 tonnes at rebate",4,99
sugar tender,predict after,"week 's award of 102,350 tonnes at highest ever rebate",4,100
sugar tender,predict after,week 's award at highest ever rebate,4,101
white sugar tender,predict after,"last week 's award of 102,350 tonnes at ever rebate",4,102
white sugar tender,predict after,"last week 's award of 102,350 tonnes at highest rebate of 46",4,103
sugar tender,predict after,"last week 's award of 102,350 tonnes at ever rebate",4,104
white sugar tender,predict after,week 's award at ever rebate,4,105
sugar tender,predict after,"last week 's award of 102,350 tonnes at rebate",4,106
sugar tender,predict after,week 's award at highest rebate of 46,4,107
sugar tender,predict after,week 's substantial award,4,108
white sugar tender,predict after,"week 's award of 102,350 tonnes at rebate",4,109
sugar tender,predict after,week 's award at ever rebate of 46,4,110
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at ever rebate",4,111
white sugar tender,predict after,"last week 's award of 102,350 tonnes at ever rebate of 46",4,112
sugar tender,predict after,week 's award at ever rebate,4,113
sugar tender,predict after,last week 's substantial award at highest ever rebate,4,114
sugar tender,predict after,week 's award at highest ever rebate of 46,4,115
sugar tender,predict after,last week 's award,4,116
white sugar tender,predict after,"week 's award of 102,350 tonnes at ever rebate of 46",4,117
white sugar tender,predict after,week 's award at rebate of 46,4,118
sugar tender,predict after,last week 's award at rebate,4,119
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest rebate of 46",4,120
sugar tender,predict after,last week 's award at ever rebate of 46,4,121
white sugar tender,predict after,last week 's award at highest ever rebate,4,122
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at rebate",4,123
sugar tender,predict after,last week 's award at ever rebate,4,124
white sugar tender,predict after,"last week 's award of 102,350 tonnes at highest ever rebate",4,125
sugar tender,predict after,last week 's award at highest rebate of 46,4,126
white sugar tender,predict after,last week 's substantial award at rebate of 46,4,127
white sugar tender,predict after,week 's substantial award at ever rebate,4,128
white sugar tender,predict after,last week 's substantial award at highest ever rebate of 46,4,129
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes",4,130
sugar tender,predict after,"last week 's award of 102,350 tonnes at highest rebate of 46",4,131
white sugar tender,predict after,last week 's award at rebate,4,132
white sugar tender,predict after,week 's award at highest ever rebate,4,133
sugar tender,predict after,last week 's award at highest ever rebate of 46,4,134
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest rebate of 46",4,135
sugar tender,predict after,last week 's award at highest rebate,4,136
sugar tender,predict after,week 's award at rebate of 46,4,137
white sugar tender,predict after,"last week 's award of 102,350 tonnes at rebate of 46",4,138
sugar tender,predict after,"last week 's award of 102,350 tonnes at highest ever rebate of 46",4,139
white sugar tender,predict after,week 's substantial award at rebate,4,140
sugar tender,predict after,"last week 's award of 102,350 tonnes at highest ever rebate",4,141
sugar tender,is,extremely difficult,4,142
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes",4,143
white sugar tender,predict after,week 's substantial award at ever rebate of 46,4,144
white sugar tender,predict after,"week 's award of 102,350 tonnes at highest ever rebate",4,145
white sugar tender,predict after,last week 's substantial award,4,146
white sugar tender,predict after,last week 's award at ever rebate,4,147
sugar tender,predict after,"week 's award of 102,350 tonnes at ever rebate",4,148
white sugar tender,predict after,week 's award at highest rebate of 46,4,149
sugar tender,predict after,last week 's substantial award at highest rebate of 46,4,150
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest rebate",4,151
sugar tender,predict after,last week 's substantial award,4,152
white sugar tender,predict after,"week 's award of 102,350 tonnes",4,153
sugar tender,predict after,week 's substantial award at highest ever rebate,4,154
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at rebate",4,155
white sugar tender,predict after,"last week 's award of 102,350 tonnes at highest rebate",4,156
sugar tender,predict after,week 's substantial award at rebate,4,157
sugar tender,predict after,"week 's award of 102,350 tonnes",4,158
sugar tender,predict after,last week 's substantial award at highest ever rebate of 46,4,159
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at ever rebate",4,160
sugar tender,predict after,last week 's substantial award at rebate of 46,4,161
sugar tender,predict after,week 's award at highest rebate,4,162
white sugar tender,predict after,week 's substantial award,4,163
sugar tender,predict after,"week 's substantial award of 102,350 tonnes",4,164
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at rebate of 46",4,165
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest ever rebate",4,166
white sugar tender,predict after,last week 's substantial award at rebate,4,167
sugar tender,predict after,last week 's award at highest ever rebate,4,168
sugar tender,predict after,"week 's award of 102,350 tonnes at highest rebate of 46",4,169
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at ever rebate",4,170
white sugar tender,predict after,last week 's substantial award at ever rebate,4,171
white sugar tender,predict after,"week 's award of 102,350 tonnes at highest ever rebate of 46",4,172
sugar tender,predict after,week 's substantial award at rebate of 46,4,173
white sugar tender,predict after,"last week 's award of 102,350 tonnes",4,174
sugar tender,predict after,week 's substantial award at highest rebate,4,175
white sugar tender,predict after,week 's substantial award at rebate of 46,4,176
white sugar tender,predict after,week 's substantial award at highest rebate,4,177
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest ever rebate of 46",4,178
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest ever rebate",4,179
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest ever rebate of 46",4,180
sugar tender,is,difficult,4,181
white sugar tender,is,difficult,4,182
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest rebate",4,183
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest ever rebate",4,184
sugar tender,predict after,week 's award,4,185
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at rebate",4,186
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest ever rebate",4,187
sugar tender,predict after,last week 's substantial award at ever rebate,4,188
