Corpus,Topic,Method,Optimal_k,Silhouette,Davies_Bouldin,Calinski_Harabasz
AMAZON,0,Ward,6,0.2246192629334351,1.1029615899909448,9.363520541485553
AMAZON,0,Kmeans,2,0.292625811675988,1.288243719824649,11.62472039652991
AMAZON,0,Spectral,2,0.28884720445156864,1.0161506153262585,10.072900291319934
AMAZON,1,Ward,2,0.22689185849473822,1.0577392226368905,14.299900117424635
AMAZON,1,Kmeans,2,0.31909992743643306,1.0737115361819753,16.45911514075419
AMAZON,1,Spectral,2,0.31909992743643306,1.0737115361819753,16.45911514075419
BBC,0,Ward,8,0.12209502356376199,1.1989937164861169,5.864430004506396
BBC,0,Kmeans,7,0.19013321156836194,1.259256403334412,6.290258900080241
BBC,0,Spectral,2,0.13438637536735706,2.0793957128853013,5.334966617700941
BBC,1,Ward,8,0.26734994260898653,1.0124716188540421,7.26059494865508
BBC,1,Kmeans,7,0.29791548125397826,1.060192808051373,7.5265457233199005
BBC,1,Spectral,6,0.2742141070731283,1.0233761022864098,7.067027347829969
BBC,2,Ward,3,0.13539999997057722,1.8863795134811319,6.999070115921558
BBC,2,Kmeans,2,0.18667326818650454,1.683084258706143,9.007066617159541
BBC,2,Spectral,4,0.17077581317107046,1.480529647993483,6.231933424481144
BBC,3,Ward,7,0.2489894288135688,1.012464598587097,8.046933502577037
BBC,3,Kmeans,3,0.2472471102894567,1.3596451494836705,10.550542495150594
BBC,4,Ward,8,0.22696998872957178,1.1108923502945616,7.264217875406275
BBC,4,Kmeans,8,0.24031668473553333,1.1382950064560222,7.005071903412903
BBC,4,Spectral,2,0.3164495463304659,0.7304049847616237,5.740980958804108
BBC,5,Ward,2,0.179464927456511,1.5545776900572699,7.683759909531692
BBC,5,Kmeans,7,0.20792686025066262,1.1461729445991566,6.51939927061472
BBC,5,Spectral,8,0.16133549853508786,1.2332624003784125,4.661542901706215
BBC,6,Ward,3,0.19850244785024915,1.2872689377465623,8.662122970016313
BBC,6,Kmeans,4,0.26042711599941987,1.1760767805164734,8.028485053172437
BBC,6,Spectral,3,0.25373253347132957,1.2888540890508473,8.471956815472865
REUTERS,0,Ward,8,0.22760698933373935,1.192564986268045,7.210292978162202
REUTERS,0,Kmeans,7,0.2688678315088166,1.1442929157360495,7.394291011599443
REUTERS,0,Spectral,2,0.22361475370290562,1.4566380656629652,7.881923745941819
REUTERS,1,Ward,2,0.2199933273451421,1.2454793386763967,10.59165091239967
REUTERS,1,Kmeans,2,0.2849628580299508,1.2454793386763967,10.59165091239967
REUTERS,1,Spectral,2,0.2532202634495359,1.1450124623022646,8.622523133135804
REUTERS,2,Ward,8,0.21410565887661978,1.150606998827467,11.215800796489031
REUTERS,2,Kmeans,8,0.3033361877072923,1.0099845914592818,11.146299560541033
REUTERS,2,Spectral,2,0.23782644969230807,1.5364530125246794,10.989436018297498
REUTERS,3,Ward,8,0.24610896691000617,0.9352378862736559,7.805928864365577
REUTERS,3,Kmeans,8,0.26773466641766147,0.9352378862736559,7.805928864365577
REUTERS,3,Spectral,8,0.24940854949047425,0.9016687981708982,7.136641774870643
REUTERS,4,Ward,2,0.296696138516932,0.9903317482806899,18.510436942404606
REUTERS,4,Kmeans,2,0.4026031784347619,1.062218292753656,19.337424218584662
REUTERS,4,Spectral,2,0.3773851834707034,0.9828485147197197,13.435524200480225
REUTERS,5,Ward,2,0.2024007140586257,1.3426657833997833,6.463425471308344
REUTERS,5,Kmeans,2,0.27617362251582467,1.3426657833997833,6.463425471308344
REUTERS,5,Spectral,2,0.21333131844587636,1.074922327758424,3.3386419896277335
REUTERS,6,Ward,8,0.27842471407222175,0.8629533237890424,9.403658874413049
REUTERS,6,Kmeans,7,0.29669268252483905,0.9794688098314246,9.348067377229414
REUTERS,6,Spectral,2,0.29278938868068105,0.5183977711265222,3.258593340237975
REUTERS,7,Ward,6,0.21675150208520697,1.257496247985076,9.02778567934894
REUTERS,7,Kmeans,2,0.30886072181530205,1.2788083634156473,18.40136151058431
REUTERS,7,Spectral,3,0.18391808977636862,1.5911302940077645,5.231971175194195
